song identifier, likelihood_art, likelihood_pop, likelihood_tradition, likely_type, was_art, was_pop, was_tradition, was_type
cache/2014.Totorro.Home Alone.Ghislain Fracapane (Japan Exclusivity).wav,0.15053991973400116,0.6979562640190125,0.15150384604930878,1,1,0,0,1
cache/2001.Death Cab for Cutie.The Photo Album.Steadier Footing.wav,0.052023906260728836,0.928503692150116,0.019472425803542137,1,1,0,0,1
cache/2003.Death Cab For Cutie.Transatlanticism.Tiny Vessels.wav,0.05749659612774849,0.9000988602638245,0.04240455850958824,1,1,0,0,1
cache/2009.Brand New.Daisy.You Stole.wav,0.04316457733511925,0.9159627556800842,0.04087264463305473,1,1,0,0,1
cache/2015.Lana Del Rey.High by the Beach.High by the Beach.wav,0.04290556535124779,0.9271863102912903,0.029908139258623123,1,1,0,0,1
cache/2015.They Might Be Giants.Glean.Let Me Tell You About My Operation.wav,0.07705181837081909,0.8372215032577515,0.08572665601968765,1,1,0,0,1
cache/2015.Marina and The Diamonds.FROOT.Forget.wav,0.1496184766292572,0.808829128742218,0.04155239835381508,1,1,0,0,1
cache/2014.The Fray.Helios.Wherever This Goes.wav,0.08452705293893814,0.8792988061904907,0.036174170672893524,1,1,0,0,1
cache/2015.Amber Run.5AM (Deluxe) WEB.5AM.wav,0.05263641104102135,0.8679678440093994,0.07939577102661133,1,1,0,0,1
cache/2016.Blue October.Home.Coal Makes Diamonds.wav,0.1335073858499527,0.8151450753211975,0.051347516477108,1,1,0,0,1
cache/2012.Neil Davidge.Halo 4 (Original Soundtrack).The Beauty Of Cortana (Apocalyptica vs Neil Davidge).wav,0.066313736140728,0.8991433382034302,0.03454291820526123,1,1,0,0,0
cache/2014.Ludwig van Beethoven.MUSC233 Exam 2.Piano Sonata in C Minor, Op. 13 (Pathétique): First movement.wav,0.0994541123509407,0.8471441268920898,0.05340178310871124,1,1,0,0,0
cache/2014.Beware of Safety.Lotusville.Trigger Finger.wav,0.19637195765972137,0.7109647393226624,0.09266332536935806,1,1,0,0,1
cache/2014.Seven Saturdays.Seven Saturdays (Ambient).Passing Glance (Ambient).wav,0.13565662503242493,0.7495695948600769,0.11477378010749817,1,1,0,0,0
cache/2014.Linfield College Concert Choir.Christmas at Linfield.A Hymn to the Virgin.wav,0.061099182814359665,0.8109530806541443,0.12794776260852814,1,1,0,0,2
cache/1992.Queen.Hot Space.Under Pressure.wav,0.2597128450870514,0.6136168241500854,0.12667033076286316,1,1,0,0,1
cache/2014.Have Mercy.A Place Of Our Own.The Place You Love.wav,0.16006051003932953,0.714469313621521,0.12547020614147186,1,1,0,0,1
cache/2015.Imagine Dragons.Smoke + Mirrors (Deluxe Edition).It Comes Back To You.wav,0.07887568324804306,0.8854326605796814,0.035691678524017334,1,1,0,0,1
cache/2015.The Lighthouse and the Whaler.Brothers Sampler.In the Open.wav,0.06281450390815735,0.9080886244773865,0.02909686788916588,1,1,0,0,1
cache/2014.Banda do Mar.Banda do Mar.Dia Clarear.wav,0.2338239699602127,0.713832676410675,0.052343372255563736,1,1,0,0,1
cache/2016.Tom Redwood.NOON  185.I've Fallen For You.wav,0.0551133006811142,0.8369407057762146,0.10794597119092941,1,1,0,0,1
cache/2015.Interpol.Spotify Sessions.Everything Is Wrong.wav,0.08213623613119125,0.8773303031921387,0.04053345322608948,1,1,0,0,1
cache/2015.Lowland Hum.Native Air.Linens.wav,0.18071015179157257,0.7923967242240906,0.02689310349524021,1,1,0,0,2
cache/2006.Blue October.Foiled.Hate Me.wav,0.035147152841091156,0.9350948333740234,0.0297580324113369,1,1,0,0,1
cache/2015.Mumford & Sons.Wilder Mind (Deluxe Version).Tompkins Square Park.wav,0.057940926402807236,0.862872838973999,0.07918620854616165,1,1,0,0,1
cache/2014.The Decemberists.What a Terrible World, What a Beautiful World.Philomena.wav,0.03368469327688217,0.9506819844245911,0.015633339062333107,1,1,0,0,1
cache/2010.Daft Punk.Tron: Legacy (Amazon MP3 Exclusive Version).Finale.wav,0.07495256513357162,0.872468113899231,0.05257929116487503,1,1,0,0,0
cache/2010.Daft Punk.Tron: Legacy (Amazon MP3 Exclusive Version).C.L.U..wav,0.05912264063954353,0.8746639490127563,0.06621339917182922,1,1,0,0,0
cache/2014.Pentatonix.PTX, Vol. III.On My Way Home.wav,0.07706498354673386,0.885479211807251,0.037455834448337555,1,1,0,0,1
cache/2014.Blueneck.King Nine.Sirens.wav,0.060846660286188126,0.8948154449462891,0.04433789104223251,1,1,0,0,1
cache/2014.Linkin Park.Final Masquerade CDS.Final Masquerade.wav,0.1651819497346878,0.7145022749900818,0.1203157976269722,1,1,0,0,1
cache/2016.The Dunwells.Light Up The Sky.Animal.wav,0.07097452133893967,0.9040660858154297,0.024959392845630646,1,1,0,0,1
cache/2013.OK Go.Twelve Months of OK Go.You Are Dead (Andy Duncan demo).wav,0.11746786534786224,0.8214367628097534,0.06109536811709404,1,1,0,0,1
cache/2015.Three Days Grace.Human.I Am Machine.wav,0.10294772684574127,0.8232881426811218,0.0737641379237175,1,1,0,0,1
cache/2009.Bon Iver.Blood Bank.Woods.wav,0.037848442792892456,0.8927297592163086,0.06942177563905716,1,1,0,0,1
cache/2015.Logan Mays.I Still Remember.The Weight of Living.wav,0.10885309427976608,0.8220139145851135,0.06913301348686218,1,1,0,0,2
cache/2000.Coldplay.Parachutes.Yellow.wav,0.11561855673789978,0.82752925157547,0.056852202862501144,1,1,0,0,1
cache/2002.Coldplay.A Rush of Blood to the Head.Green Eyes.wav,0.0815090760588646,0.8701167106628418,0.04837420582771301,1,1,0,0,1
cache/2006.Glen Hansard and Marketa Irglova.The Swell Season.Falling Slowly.wav,0.06897227466106415,0.9081757664680481,0.022851966321468353,1,1,0,0,1
cache/2015.Adam Devine.Pitch Perfect 2.All Of Me (Bumper's Audition).wav,0.17655181884765625,0.7025569677352905,0.12089123576879501,1,1,0,0,0
cache/2016.Tall Heights.Man of Stone.Out of the Ground.wav,0.09193598479032516,0.8325319886207581,0.07553204149007797,1,1,0,0,2
cache/2016.Mogwai.Atomic.Fat Man.wav,0.10456708818674088,0.8686709403991699,0.026761973276734352,1,1,0,0,1
cache/2004.Carbon Leaf.Indian Summer.When I'm Alone.wav,0.0216051172465086,0.936069905757904,0.0423249676823616,1,1,0,0,1
cache/2000.Death Cab for Cutie.Forbidden Love [EP].Company Calls Epilogue [Altern.wav,0.03679309040307999,0.9349214434623718,0.028285454958677292,1,1,0,0,1
cache/2014.Sheppard.Bombs Away.This Electric Feeling.wav,0.05938490107655525,0.8789443373680115,0.061670731753110886,1,1,0,0,1
cache/2008.Missy Higgins.On A Clear Night.Where I Stood .wav,0.06966108083724976,0.8404998779296875,0.08983905613422394,1,1,0,0,1
cache/2004.Carbon Leaf.Indian Summer.Paloma.wav,0.04685040935873985,0.9048623442649841,0.04828726500272751,1,1,0,0,1
cache/2014.Jackson 5.Guardians Of The Galaxy (Awesome Mix Vol. 1).I Want You Back.wav,0.024816641584038734,0.938849151134491,0.036334212869405746,1,1,0,0,0
cache/2015.Zella Day.Insurgent (Original Motion Picture Soundtrack).Sacrifice.wav,0.12030544877052307,0.7938187122344971,0.08587580919265747,1,1,0,0,0
cache/2010.Binärpilot.Nordland.Draugen.wav,0.292289674282074,0.5663028359413147,0.14140750467777252,1,1,0,0,1
cache/2014.Cold War Kids.Hold My Home.Hotel Anywhere.wav,0.02941173128783703,0.918717086315155,0.05187118053436279,1,1,0,0,1
cache/2012.DJ MikeA.Best of Bootie 2012 (Unmixed).Die Young In The Cave (Bootie Edit) (Mumford & Sons vs. Ke$ha).wav,0.08018149435520172,0.8598591685295105,0.05995935574173927,1,1,0,0,1
cache/2014.The Neighbourhood.#000000 & #Ffffff.Silver.wav,0.08129273355007172,0.8514812588691711,0.06722599267959595,1,1,0,0,1
cache/2014.Blake Mills.Heigh Ho.Seven.wav,0.07285527884960175,0.809367299079895,0.11777742952108383,1,1,0,0,1
cache/2015.White Morning.Scores.Withdrawn.wav,0.16495046019554138,0.7950125336647034,0.040036994963884354,1,1,0,0,0
cache/1998.Snow Patrol.Songs For Polarbears.Little Hide.wav,0.04726429656147957,0.8994325399398804,0.05330315977334976,1,1,0,0,1
cache/1973.Lynyrd Skynyrd.Second Helping.Sweet Home Alabama.wav,0.06475701928138733,0.9185464382171631,0.016696542501449585,1,1,0,0,1
cache/2001.Death Cab for Cutie.The Photo Album.Information Travels Faster.wav,0.09701618552207947,0.8512242436408997,0.05175959691405296,1,1,0,0,1
cache/2003.Coldplay.Live 2003.One I Love.wav,0.17405566573143005,0.7349361777305603,0.09100814163684845,1,1,0,0,1
cache/2003.Linkin Park.Meteora.Breaking the Habit.wav,0.15703481435775757,0.7332093119621277,0.10975588113069534,1,1,0,0,1
cache/2014.Rise Against.The Black Market.A Beautiful Indifference.wav,0.12669429183006287,0.7671036124229431,0.10620209574699402,1,1,0,0,1
cache/2014.IRREVERSIBLE.Surface.Degloving Injury.wav,0.041893936693668365,0.9158921837806702,0.04221384972333908,1,1,0,0,1
cache/2014.Pentatonix.That's Christmas To Me.Let It Go.wav,0.1786821186542511,0.6983365416526794,0.12298136204481125,1,1,0,0,2
cache/2015.Brian Tyler.Avengers: Age of Ultron.Seoul Searching.wav,0.0983278751373291,0.8484764099121094,0.05319572240114212,1,1,0,0,0
cache/2007.Binärpilot.Robot Wars.A New Galaxy.wav,0.21408550441265106,0.6983042359352112,0.08761027455329895,1,1,0,0,1
cache/2001.Death Cab for Cutie.The Photo Album.Why You'd Want to Live Here.wav,0.050809916108846664,0.8706560730934143,0.07853401452302933,1,1,0,0,1
cache/2016.M83.Junk.Walkway Blues.wav,0.025119928643107414,0.9362890720367432,0.03859097138047218,1,1,0,0,1
cache/2014.Haerts.Haerts.Hemiplegia.wav,0.06924179196357727,0.8885652422904968,0.0421929769217968,1,1,0,0,1
cache/2015.Of Monsters And Men.Beneath The Skin.Thousand Eyes.wav,0.10933711379766464,0.8193600177764893,0.0713028684258461,1,1,0,0,1
cache/2015.MOGWAI.Central Belters.Wizard Motor.wav,0.06108839809894562,0.9126615524291992,0.026250042021274567,1,1,0,0,1
cache/2003.Muse.Absolution.Falling Away With You.wav,0.20129737257957458,0.7258082032203674,0.07289444655179977,1,1,0,0,1
cache/2014.James Newton Howard.The Hunger Games - Mockingjay Pt. 1 (Original Motin Picture Score).Taunting The Car.wav,0.0895778089761734,0.7543302774429321,0.15609189867973328,1,1,0,0,0
cache/2016.Ruth Koleva.R U T H.Freak and Fly.wav,0.13803212344646454,0.6738386750221252,0.18812920153141022,1,1,0,0,1
cache/2015.Will Young.85% Proof (Deluxe Edition).Blue.wav,0.23129159212112427,0.5949831008911133,0.17372527718544006,1,1,0,0,1
cache/2003.Evanescence.Fallen.Hello.wav,0.06867533922195435,0.8339893221855164,0.0973353460431099,1,1,0,0,1
cache/2014.The Fray.Helios.Give It Away.wav,0.028754426166415215,0.9405097961425781,0.030735766515135765,1,1,0,0,1
cache/2002.Linkin Park.Reanimation.Pts.Of.Athrty.wav,0.051372427493333817,0.8329682946205139,0.11565928906202316,1,1,0,0,1
cache/2005.Flyleaf.Flyleaf.Red Sam (Acoustic Version).wav,0.04556701332330704,0.9205354452133179,0.03389756754040718,1,1,0,0,1
cache/2016.M83.Junk.Laser Gun.wav,0.1013622134923935,0.8038977384567261,0.09474005550146103,1,1,0,0,1
cache/2006.Binärpilot.You Can't Stop Da Funk.Markell Fiksen.wav,0.04461601749062538,0.9317764639854431,0.023607520386576653,1,1,0,0,1
cache/2015.Howie Day.Lanterns.Treetops.wav,0.0641525611281395,0.8873124122619629,0.048535048961639404,1,1,0,0,2
cache/2005.Coldplay.X&Y.The Hardest Part.wav,0.09226660430431366,0.8194676041603088,0.0882657915353775,1,1,0,0,1
cache/2012.Aftermath.She's Better Than Dreams EP.Airplanes And Airwaves.wav,0.06015583127737045,0.8305057883262634,0.10933838039636612,1,1,0,0,1
