song identifier	 likelihood_art	 likelihood_pop	 likelihood_tradition	 likely_type	 was_art	 was_pop	 was_tradition	 was_type	
cache/2014.Blake Mills.Heigh Ho.Half Asleep.wav	0.132510751	0.786177099	0.081312157	1	0	1	0	1	
cache/2016.Mogwai.Atomic.Weak Force.wav	0.423551768	0.495054126	0.081394099	1	0	1	0	1	
cache/2015.MOGWAI.Central Belters.CODY.wav	0.036882237	0.934660494	0.02845728	1	0	1	0	1	
cache/2015.Lowland Hum.Native Air.My House Is Empty.wav	0.174455971	0.746353865	0.079190187	1	0	1	0	2	
cache/2015.MOGWAI.Central Belters.My Father My King.wav	0.089830339	0.755254686	0.154915005	1	0	1	0	1	
cache/2003.Linkin Park.Meteora.Easier to Run.wav	0.030388821	0.892396331	0.077214837	1	0	1	0	1	
cache/2005.Coldplay.X&Y.Swallowed in the Sea.wav	0.147502065	0.765371323	0.087126598	1	0	1	0	1	
cache/2001.Daft PunkTodd Edwards.Discovery.Face to Face.wav	0.10080041	0.868380189	0.030819384	1	0	1	0	1	
cache/2014.Angus & Julia Stone.Angus & Julia Stone (Deluxe Version).Other Things.wav	0.086708017	0.817660451	0.095631555	1	0	1	0	1	
cache/2015.Lowland Hum.Native Air.Pocket Knife.wav	0.02265347	0.929460049	0.047886476	1	0	1	0	2	
cache/2014.Marvin Gaye.Guardians Of The Galaxy (Awesome Mix Vol. 1).Ain't No Mountain High Enough.wav	0.074654154	0.898545325	0.026800491	1	0	1	0	0	
cache/2014.Blueneck.Night of the Meek.Driving Home for Christmas.wav	0.048550054	0.911500692	0.039949231	1	0	1	0	1	
cache/2001.John Mayer.Room for Squares.Why Georgia.wav	0.142688885	0.834796131	0.022515014	1	0	1	0	1	
cache/2005.Nickelback.All the Right Reasons.Photograph.wav	0.027306173	0.95716989	0.015523958	1	0	1	0	1	
cache/2014.Angus & Julia Stone.Angus & Julia Stone (Deluxe Version).Crash And Burn.wav	0.042961597	0.935960114	0.021078305	1	0	1	0	1	
cache/1996.The Verve Pipe.Villains.Villains.wav	0.033946488	0.940300465	0.025753044	1	0	1	0	1	
cache/2016.Sleeping At Last.Atlas: Senses.Touch.wav	0.033116303	0.95404923	0.01283445	1	0	1	0	1	
cache/2015.God Is An Astronaut.Helios 									1
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).Words Don't Come So Easily.wav	0.103974365	0.83702457	0.059001036	1	0	1	0	1	
cache/2014.Rise Against.The Black Market.The Great Die-Off.wav	0.182924062	0.747692287	0.069383666	1	0	1	0	1	
cache/2003.Snow Patrol.Final Straw.Same.wav	0.08392027	0.793190539	0.122889161	1	0	1	0	1	
cache/2015.Will Young.85% Proof (Deluxe Edition).Where Are You Tonight.wav	0.069518358	0.861703694	0.068777934	1	0	1	0	1	
cache/2014.Foo Fighters.Sonic Highways.What Did I Do?God As My Witness.wav	0.06191225	0.882581949	0.055505827	1	0	1	0	1	
cache/2014.The Who.Who's Next (Deluxe Edition).(I'm a) Road Runner (Live).wav	0.076250657	0.835141957	0.088607386	1	0	1	0	1	
cache/2002.Coldplay.A Rush of Blood to the Head.God Put a Smile Upon Your Face.wav	0.021424489	0.960662365	0.017913129	1	0	1	0	1	
cache/2005.The Fray.How to Save a Life.Trust Me.wav	0.130189121	0.760961413	0.108849443	1	0	1	0	1	
cache/2016.OMEA All-State Choir 2012-2013.2013 OMEA.Tides of Ocean.wav	0.149036556	0.770956755	0.080006674	1	0	1	0	0	
cache/2013.Kodaline.In A Perfect World.Brand New Day.wav	0.085065104	0.877968609	0.03696629	1	0	1	0	1	
cache/2002.Death Cab For Cutie.You Can Play These Songs With Chords.This Charming Man.wav	0.058055066	0.920956314	0.020988626	1	0	1	0	1	
cache/2007.The Swell Season.Once.Gold.wav	0.044843074	0.896388888	0.058768012	1	0	1	0	0	
cache/2014.The World is a Beautiful Place & I am No Longer Afraid to Die.Between Bodies.Autotonsorialist.wav	0.11310228	0.784510136	0.102387585	1	0	1	0	1	
cache/2014.IRREVERSIBLE.Surface.Side Effects Of Living.wav	0.092919469	0.773084342	0.133996218	1	0	1	0	1	
"cache/2014.Hector Berlioz.MUSC233 Exam 3.Symphonie fantastique: Fifth movement, â€œDream of a Witchesâ€™ Sabbathâ€ù.wav"	0.134469897	0.787047148	0.078482933	1	0	1	0	0	
cache/2014.Cold War Kids.Hold My Home.Hotel Anywhere.wav	0.046558708	0.926134527	0.027306778	1	0	1	0	1	
cache/2015.Vitamin String Quartet.The Geek Wedding Collection.Star Trek - The Next Generation Theme.wav	0.065908715	0.90743798	0.026653284	1	0	1	0	1	
cache/2016.Anya Marina.Paper Plane.Go to Bed.wav	0.057617214	0.877204657	0.065178119	1	0	1	0	2	
